affinity-inactive,affinity_7E2Y_H-Chembl24,affinity_7E2Y_H-gail_sm,affinity_7E2Y_H-gail_sf,affinity-active
-8.662,-7.312,-8.628,-6.219,-11.2
-9.466,-9.989,-9.695,-9.113,-10.28
-9.234,-8.218,-10.58,-10.65,-8.338
-9.296,-8.056,-10.7,-9.124,-10.34
-8.771,-8.653,-7.979,-12.55,-10.28
-7.094,-11.08,-11.59,-8.837,-8.159
-8.351,-8.729,-7.49,-15.46,-8.952
-8.306,-8.201,-9.104,-12.8,-9.734
-8.528,-9.012,-9.793,-7.841,-7.454
-7.408,-12.46,-7.328,-17.22,-9.362
-10.47,-8.581,-10.11,-10.3,-9.665
-8.86,-8.834,-9.018,-8.079,-8.325
-7.344,-12.72,-9.031,-7.497,-7.86
-9.529,-12.79,-9.043,-9.401,-8.845
-8.78,-7.707,-8.626,-9.262,-9.322
