affinity-inactive,affinity_6LUQ_H-Chembl24,affinity_6LUQ_H-gail_sm,affinity_6LUQ_H-gail_sf,affinity-active
-5.7,-10.32,-10.29,-9.511,-10.92
-7.897,-10.03,-7.721,-8.561,-10.57
-7.68,-8.301,-8.068,-8.81,-13.21
-6.431,-7.711,-9.365,-12.37,-8.615
-8.076,-12.13,-8.416,-8.037,-9.778
-9.243,-7.485,-10.21,-9.621,-10.05
-11.61,-7.849,-12.37,-10.28,-8.826
-9.544,-9.692,-9.98,-9.015,-9.29
-6.717,-10.13,-9.364,-7.801,-8.651
-8.828,-9.46,-9.75,-7.504,-7.194
-9.093,-9.412,-13.58,-6.972,-9.492
-8.257,-9.402,-9.021,-8.69,-9.184
-8.405,-9.402,-10.49,-8.19,-10.4
-8.275,-9.781,-8.396,-15.21,-7.344
-7.726,-9.165,-9.618,-10.29,-9.216
-9.358,-9.669,-10.54,-7.727,-7.768
-7.76,-9.279,-10.64,-11.53,-7.559
-9.388,-9.127,-9.065,-8.676,-9.438
-7.271,-8.105,-6.6,-8.899,-9.065
-8.754,-12.46,-10.19,-9.561,-8.418
-10.31,-6.807,-9.127,-14.52,-6.199
-8.971,-9.507,-7.505,-8.603,-10.2
-7.691,-9.628,-10.36,-10.84,-9.262
-10.5,-9.169,-8.11,-12.6,-7.303
-7.851,-9.507,-11.3,-7.749,-9.609
-11.8,-10,-10.13,-10.58,-9.873
-6.712,-7.66,-9.856,-12.06,-7.458
-9.067,-10.3,-9.961,-7.74,-10.62
-9.002,-14.92,-12.66,-9.452,-9.729
-8.584,-7.471,-12.69,-8.047,-7.551
-10.01,-7.108,-10.79,-10.85,-14.38
-10.39,-10.01,-10.22,-10.27,-12.6
-9.016,-10.06,-6.412,-8.089,-11.34
-9.173,-8.016,-9.242,-9.28,-7.281
-8.302,-10.91,-9.385,-11.28,-9.32
-8.58,-7.56,-8.129,-7.563,-13.89
-7.228,-9.075,-10.28,-10.74,-10.4
-7.224,-8.913,-9.28,-10.14,-9.291
-8.846,-9.275,-10.68,-8.616,-11.05
-6.683,-7.549,-8.682,-11.91,-8.168
-6.012,-10.16,-11.23,-8.078,-11.49
-8.44,-10.3,-8.044,-14.54,-10.86
-8.136,-9.7,-8.799,-12.95,-9.105
-9.378,-7.728,-8.564,-8.028,-7.574
-8.065,-13.86,-8.112,-16.07,-12.13
-12.11,-9.229,-10.1,-9.708,-9.751
-8.279,-9.488,-8.866,-7.952,-7.643
-7.058,-13.43,-8.685,-7.428,-10.4
-9.794,-12.59,-9.072,-10.02,-9.47
-6.878,-8.204,-9.299,-8.984,-10.34
